3433 Binding energies from the Atomic Mass Evaluation of 2016
# Electronic correction:  Be(Z) = 1.44381E-5*Z**2.39 + 1.55468E-12*Z**5.35 MeV            
# Num Nuc  A   N   Z        E        E/A     dE     Eval    S1n     dS1n  Eval    S1p     dS1p  Eval    S2n     dS2n  Eval    S2p     dS2p  Eval
  343  K  49  30  19  -410.224982 -8.371938 0.000784  0  5.398290 0.001552  0 14.617095 0.308176  0 10.042113 0.002194  0 34.425585 0.423784  1
  344  K  50  31  19  -414.412656 -8.288253 0.007750  0  4.187674 0.008534  0 15.812105 0.399750  1  9.585964 0.008518  0 36.041259 0.487750  1
  345  K  51  32  19  -419.272355 -8.221027 0.013056  0  4.859699 0.020806  0 16.486804 0.513056  1  9.047373 0.013840  0 38.015958 0.601056  1
  346  K  52  33  19  -421.965064 -8.114713 0.033540  0  2.692709 0.046596  0 17.753513 0.645540  1  7.552408 0.041290  0 39.427667 0.633540  1
  347  K  53  34  19  -425.194500 -8.022538 0.111777  0  3.229436 0.145317  0 18.308949 0.735777  1  5.922145 0.124833  0 41.177103 0.825777  1
  348  K  54  35  19  -425.989556 -7.888695 0.594000  1  0.795056 0.705777  1 19.123005 1.283000  2  4.024492 0.627540  1  0.000001 0.000001  0
  349  K  55  36  19  -428.323556 -7.787701 0.715000  1  2.334000 1.309000  2  0.000001 0.000001  0  3.129056 0.826777  1  0.000001 0.000001  0
  350  K  56  37  19  -429.167556 -7.663706 0.784000  1  0.844000 1.499000  2  0.000001 0.000001  0  3.178000 1.378000  2  0.000001 0.000001  0
  351 Ca  34  14  20  -244.917409 -7.203453 0.306000  1  0.000001 0.000001  0  0.502853 0.504000  2  0.000001 0.000001  0 -1.468397 0.307760  1
  352 Ca  35  15  20  -262.026409 -7.486469 0.210000  1 17.109000 0.516000  2  1.262853 0.414000  2  0.000001 0.000001  0  0.385344 0.210396  1
  353 Ca  36  16  20  -281.353053 -7.815363 0.039996  0 19.326644 0.249996  1  2.565097 0.040521  0 36.435644 0.345996  1  2.646655 0.040064  0
  354 Ca  37  17  20  -296.109281 -8.002954 0.000629  0 14.756228 0.040625  0  3.005841 0.000953  0 34.082872 0.210629  1  4.662596 0.001294  0
  355 Ca  38  18  20  -313.103043 -8.239554 0.000190  0 16.993762 0.000819  0  4.545148 0.000301  0 31.749990 0.040186  0  6.400769 0.000226  0
  356 Ca  39  19  20  -326.398539 -8.369193 0.000585  0 13.295496 0.000775  0  5.768779 0.000775  0 30.289258 0.001214  0 10.908846 0.000807  0
  357 Ca  40  20  20  -342.033529 -8.550838 0.000040  0 15.634990 0.000625  0  8.325998 0.000040  0 28.930486 0.000230  0 14.705339 0.000230  0
  358 Ca  41  21  20  -350.396355 -8.546253 0.000123  0  8.362826 0.000163  0  8.889199 0.000163  0 23.997816 0.000708  0 16.469483 0.005115  0
  359 Ca  42  22  20  -361.877055 -8.616120 0.000168  0 11.480700 0.000291  0 10.274547 0.000168  0 19.843526 0.000208  0 18.081145 0.000168  0
  360 Ca  43  23  20  -369.809918 -8.600231 0.000215  0  7.932863 0.000383  0 10.673610 0.000341  0 19.413563 0.000338  0 19.915116 0.000543  0
  361 Ca  44  24  20  -380.941109 -8.657752 0.000308  0 11.131191 0.000523  0 12.180093 0.000738  0 19.064054 0.000476  0 21.619813 0.006104  0
  362 Ca  45  25  20  -388.355934 -8.630132 0.000360  0  7.414825 0.000668  0 12.317534 0.000800  0 18.546016 0.000575  0 23.376193 0.005649  0
  363 Ca  46  26  20  -398.754443 -8.668575 0.002254  0 10.398509 0.002614  0 13.810557 0.002794  0 17.813334 0.002562  0 25.039933 0.003838  0
  364 Ca  47  27  20  -406.030812 -8.638953 0.002209  0  7.276369 0.004463  0 14.217324 0.002945  0 17.674878 0.002569  0 27.147422 0.002704  0
  365 Ca  48  28  20  -415.982337 -8.666299 0.000096  0  9.951525 0.002305  0 15.799468 0.001506  0 17.227894 0.002350  0 29.025513 0.001200  0
  366 Ca  49  29  20  -421.128765 -8.594465 0.000196  0  5.146428 0.000292  0 16.302073 0.000964  0 15.097953 0.002405  0 30.507227 0.001324  0
  367 Ca  50  30  20  -427.489559 -8.549791 0.001600  0  6.360794 0.001796  0 17.264577 0.002384  0 11.507222 0.001696  0 31.881673 0.308992  0
  368 Ca  51  31  20  -432.303972 -8.476548 0.000510  0  4.814413 0.002110  0 17.891316 0.008260  0 11.175207 0.000706  0 33.703422 0.392510  1
  369 Ca  52  32  20  -438.309221 -8.429023 0.000676  0  6.005249 0.001186  0 19.036866 0.013732  0 10.819662 0.002276  0 35.523671 0.500676  1
  370 Ca  53  33  20  -441.501990 -8.330226 0.043778  0  3.192769 0.044454  0 19.536926 0.077318  0  9.198018 0.044288  0 37.290440 0.655778  1
  371 Ca  54  34  20  -445.346193 -8.247152 0.048438  0  3.844203 0.092216  0 20.151693 0.160215  0  7.036972 0.049114  0 38.460643 0.672438  1
  372 Ca  55  35  20  -446.581409 -8.119662 0.275000  1  1.235216 0.323438  1 20.591853 0.869000  2  5.079419 0.318778  1 39.714859 0.964000  2
  373 Ca  56  36  20  -450.221409 -8.039668 0.392000  1  3.640000 0.667000  2 21.897853 1.107000  2  4.875216 0.440438  1  0.000001 0.000001  0
  374 Ca  57  37  20  -451.250409 -7.916674 0.399000  1  1.029000 0.791000  2 22.082853 1.183000  2  4.669000 0.674000  2  0.000001 0.000001  0
  375 Ca  58  38  20  -454.411409 -7.834679 0.522000  1  3.161000 0.921000  2  0.000001 0.000001  0  4.190000 0.914000  2  0.000001 0.000001  0
  376 Sc  36  15  21  -258.783107 -7.188420 0.288000  1  0.000001 0.000001  0 -3.243302 0.498000  2  0.000001 0.000001  0 -1.980449 0.492000  2
  377 Sc  37  16  21  -278.663107 -7.531435 0.296000  1 19.880000 0.584000  2 -2.689946 0.335996  1  0.000001 0.000001  0 -0.124849 0.296525  1
  378 Sc  38  17  21  -294.517107 -7.750450 0.190000  1 15.854000 0.486000  2 -1.592174 0.190629  1 35.734000 0.478000  2  1.413667 0.190324  1
  379 Sc  39  18  21  -312.503891 -8.012920 0.023985  0 17.986784 0.213985  1 -0.599152 0.024175  0 33.840784 0.319985  1  3.945996 0.024096  0
  380 Sc  40  19  21  -326.925867 -8.173147 0.002840  0 14.421976 0.026825  0  0.527328 0.003425  0 32.408760 0.192840  1  6.296107 0.003030  0
  381 Sc  41  20  21  -343.116225 -8.368688 0.000082  0 16.190358 0.002922  0  1.082696 0.000122  0 30.612334 0.024067  0  9.408694 0.000082  0
  382 Sc  42  21  21  -354.666293 -8.444436 0.000168  0 11.550068 0.000250  0  4.269938 0.000291  0 27.740426 0.003008  0 13.159137 0.000208  0
  383 Sc  43  22  21  -366.804582 -8.530339 0.001849  0 12.138289 0.002017  0  4.927527 0.002017  0 23.688357 0.001931  0 15.202074 0.001849  0
  384 Sc  44  23  21  -376.503783 -8.556904 0.001760  0  9.699201 0.003609  0  6.693865 0.001975  0 21.837490 0.001928  0 17.367475 0.001886  0
  385 Sc  45  24  21  -387.831002 -8.618467 0.000675  0 11.327219 0.002435  0  6.889893 0.000983  0 21.026420 0.002524  0 19.069986 0.001105  0
  386 Sc  46  25  21  -396.591659 -8.621558 0.000690  0  8.760657 0.001365  0  8.235725 0.001050  0 20.087876 0.002450  0 20.553259 0.001130  0
  387 Sc  47  26  21  -407.238337 -8.664645 0.001927  0 10.646678 0.002617  0  8.483894 0.004181  0 19.407335 0.002602  0 22.294451 0.002467  0
  388 Sc  48  27  21  -415.476899 -8.655769 0.004944  0  8.238562 0.006871  0  9.446087 0.007153  0 18.885240 0.005634  0 23.663411 0.005680  0
  389 Sc  49  28  21  -425.605651 -8.685830 0.002695  0 10.128752 0.007639  0  9.623314 0.002791  0 18.367314 0.004622  0 25.422782 0.004105  0
  390 Sc  50  29  21  -431.663057 -8.633261 0.015000  0  6.057406 0.017695  0 10.534292 0.015196  0 16.186158 0.019944  0 26.836365 0.015768  0
  391 Sc  51  30  21  -438.415703 -8.596386 0.019992  0  6.752646 0.034992  0 10.926144 0.021592  0 12.810052 0.022687  0 28.190721 0.020776  0
  392 Sc  52  31  21  -443.701607 -8.532723 0.081848  0  5.285904 0.101840  0 11.397635 0.082358  0 12.038550 0.096848  0 29.288951 0.089598  0
  393 Sc  53  32  21  -450.236420 -8.495027 0.094075  0  6.534813 0.175923  0 11.927199 0.094751  0 11.820717 0.114067  0 30.964065 0.107131  0
  394 Sc  54  33  21  -453.291881 -8.394294 0.272808  0  3.055461 0.366883  0 11.789891 0.316586  0  9.590274 0.354656  0 31.326817 0.306348  0
  395 Sc  55  34  21  -457.631632 -8.320575 0.454355  0  4.339751 0.727163  0 12.285439 0.502793  0  7.395212 0.548430  0 32.437132 0.566132  0
  396 Sc  56  35  21  -460.395875 -8.221355 0.586824  0  2.764243 1.041179  0 13.814466 0.861824  1  7.103994 0.859632  0 34.406319 1.180824  1
  397 Sc  57  36  21  -464.610788 -8.151066 1.304103  0  4.214913 1.890927  0 14.389379 1.696103  1  6.979156 1.758458  0 36.287232 2.019103  1
  398 Sc  58  37  21  -466.589107 -8.044640 0.406000  1  1.978319 1.710103  1 15.338698 0.805000  2  6.193232 0.992824  1 37.421551 1.190000  2
  399 Sc  59  38  21  -470.032107 -7.966646 0.413000  1  3.443000 0.819000  2 15.620698 0.935000  2  5.421319 1.717103  1  0.000001 0.000001  0
  400 Sc  60  39  21  -471.879107 -7.864652 0.480000  1  1.847000 0.893000  2  0.000001 0.000001  0  5.290000 0.886000  2  0.000001 0.000001  0
  401 Sc  61  40  21  -474.986107 -7.786657 0.610000  1  3.107000 1.090000  2  0.000001 0.000001  0  4.954000 1.023000  2  0.000001 0.000001  0
  402 Ti  38  16  22  -278.592647 -7.331385 0.304000  1  0.000001 0.000001  0 -0.070460 0.600000  2  0.000001 0.000001  0 -2.760406 0.343996  1
  403 Ti  39  17  22  -295.362647 -7.573401 0.195000  1 16.770000 0.499000  2  0.845540 0.385000  2  0.000001 0.000001  0 -0.746634 0.195629  1
  404 Ti  40  18  22  -314.468087 -7.861702 0.160000  0 19.105440 0.355000  1  1.964196 0.183985  0 35.875440 0.464000  1  1.365044 0.160190  0
  405 Ti  41  19  22  -329.386555 -8.033818 0.027962  0 14.918468 0.187962  0  2.460688 0.030802  0 34.023908 0.222962  1  2.988016 0.028547  0
  406 Ti  42  20  22  -346.865021 -8.258691 0.000294  0 17.478466 0.028256  0  3.748796 0.000376  0 32.396934 0.160294  0  4.831492 0.000334  0
  407 Ti  43  21  22  -359.152723 -8.352389 0.007224  0 12.287702 0.007518  0  4.486430 0.007392  0 29.766168 0.035186  0  8.756368 0.007347  0
  408 Ti  44  22  22  -375.451527 -8.532989 0.000704  0 16.298804 0.007928  0  8.646945 0.002553  0 28.586506 0.000998  0 13.574472 0.000872  0
  409 Ti  45  23  22  -384.984137 -8.555203 0.000855  0  9.532610 0.001559  0  8.480354 0.002615  0 25.831414 0.008079  0 15.174219 0.001070  0
  410 Ti  46  24  22  -398.173393 -8.655943 0.000184  0 13.189256 0.001039  0 10.342391 0.000859  0 22.721866 0.000888  0 17.232284 0.000492  0
  411 Ti  47  25  22  -407.054316 -8.660730 0.000094  0  8.880923 0.000278  0 10.462657 0.000784  0 22.070179 0.000949  0 18.698382 0.000454  0
  412 Ti  48  26  22  -418.680935 -8.722519 0.000096  0 11.626619 0.000190  0 11.442598 0.002023  0 20.507542 0.000280  0 19.926492 0.002350  0
  413 Ti  49  27  22  -426.823340 -8.710680 0.000098  0  8.142405 0.000194  0 11.346441 0.005042  0 19.769024 0.000192  0 20.792528 0.002307  0
  414 Ti  50  28  22  -437.762547 -8.755251 0.000100  0 10.939207 0.000198  0 12.156896 0.002795  0 19.081612 0.000196  0 21.780210 0.000196  0
  415 Ti  51  29  22  -444.135035 -8.708530 0.000510  0  6.372488 0.000610  0 12.471978 0.015510  0 17.311695 0.000608  0 23.006270 0.000706  0
  416 Ti  52  30  22  -451.943331 -8.691218 0.007072  0  7.808296 0.007582  0 13.527628 0.027064  0 14.180784 0.007172  0 24.453772 0.008672  0
  417 Ti  53  31  22  -457.375869 -8.629733 0.100064  0  5.432538 0.107136  0 13.674262 0.181912  0 13.240834 0.100574  0 25.071897 0.100574  0
  418 Ti  54  32  22  -464.238137 -8.597003 0.082458  0  6.862268 0.182522  0 14.001717 0.176533  0 12.294806 0.089530  0 25.928916 0.083134  0
  419 Ti  55  33  22  -468.355547 -8.515555 0.161590  0  4.117410 0.244048  0 15.063666 0.434398  0 10.979678 0.261654  0 26.853557 0.205368  0
  420 Ti  56  34  22  -474.078807 -8.465693 0.121240  0  5.723260 0.282830  0 16.447175 0.575595  0  9.840670 0.203698  0 28.732614 0.169678  0
  421 Ti  57  35  22  -476.745737 -8.363960 0.256443  0  2.666930 0.377683  0 16.349862 0.843267  0  8.390190 0.418033  0 30.164328 0.531443  1
  422 Ti  58  36  22  -482.014647 -8.310597 0.174000  1  5.268910 0.430443  1 17.403859 1.478103  1  7.935840 0.295240  1 31.793238 0.566000  2
  423 Ti  59  37  22  -484.484647 -8.211604 0.177000  1  2.470000 0.351000  2 17.895540 0.583000  2  7.738910 0.433443  1 33.234238 0.576000  2
  424 Ti  60  38  22  -489.396647 -8.156611 0.300000  1  4.912000 0.477000  2 19.364540 0.713000  2  7.382000 0.474000  2 34.985238 0.822000  2
  425 Ti  61  39  22  -491.453647 -8.056617 0.427000  1  2.057000 0.727000  2 19.574540 0.907000  2  6.969000 0.604000  2  0.000001 0.000001  0
  426 Ti  62  40  22  -495.666647 -7.994623 0.372000  1  4.213000 0.799000  2 20.680540 0.982000  2  6.270000 0.672000  2  0.000001 0.000001  0
  427 Ti  63  41  22  -496.983647 -7.888629 0.504000  1  1.317000 0.876000  2  0.000001 0.000001  0  5.530000 0.931000  2  0.000001 0.000001  0
  428 Ti  64  42  22  -500.328647 -7.817635 0.576000  1  3.345000 1.080000  2  0.000001 0.000001  0  4.662000 0.948000  2  0.000001 0.000001  0
  429  V  40  17  23  -292.654026 -7.316351 0.280000  1  0.000001 0.000001  0 -2.708621 0.475000  2  0.000001 0.000001  0 -1.863081 0.470000  2
  430  V  41  18  23  -312.599026 -7.624366 0.205000  1 19.945000 0.485000  2 -1.869061 0.365000  1  0.000001 0.000001  0  0.095135 0.228985  1
  431  V  42  19  23  -328.582026 -7.823382 0.210000  1 15.983000 0.415000  2 -0.804529 0.237962  1 35.928000 0.490000  2  1.656159 0.212840  1
  432  V  43  20  23  -346.963042 -8.068908 0.042828  0 18.381016 0.252828  1  0.098021 0.043122  0 34.364016 0.247828  1  3.846817 0.042910  0
  433  V  44  21  23  -361.234398 -8.209873 0.181632  0 14.271356 0.224460  0  2.081675 0.188856  0 32.652372 0.391632  1  6.568105 0.181800  0
  434  V  45  22  23  -377.075331 -8.379452 0.000855  0 15.840933 0.182487  0  1.623804 0.001559  0 30.112289 0.043683  0 10.270749 0.002704  0
  435  V  46  23  23  -390.336006 -8.485565 0.000184  0 13.260675 0.001039  0  5.351869 0.001039  0 29.101608 0.181816  0 13.832223 0.001944  0
  436  V  47  24  23  -403.338601 -8.581672 0.000188  0 13.002595 0.000372  0  5.165208 0.000372  0 26.263270 0.001043  0 15.507599 0.000863  0
  437  V  48  25  23  -413.880954 -8.622520 0.000960  0 10.542353 0.001148  0  6.826638 0.001054  0 23.544948 0.001144  0 17.289295 0.001650  0
  438  V  49  26  23  -425.436518 -8.682378 0.000833  0 11.555564 0.001793  0  6.755583 0.000929  0 22.097917 0.001021  0 18.198181 0.002760  0
  439  V  50  27  23  -434.769926 -8.695399 0.000400  0  9.333408 0.001233  0  7.946586 0.000498  0 20.888972 0.001360  0 19.293027 0.005344  0
  440  V  51  28  23  -445.821075 -8.741590 0.000408  0 11.051149 0.000808  0  8.058528 0.000508  0 20.384557 0.001241  0 20.215424 0.003103  0
  441  V  52  29  23  -453.132290 -8.714082 0.000416  0  7.311215 0.000824  0  8.997255 0.000926  0 18.362364 0.000816  0 21.469233 0.015416  0
  442  V  53  30  23  -461.610916 -8.709640 0.003127  0  8.478626 0.003543  0  9.667585 0.010199  0 15.789841 0.003535  0 23.195213 0.023119  0
  443  V  54  31  23  -467.724348 -8.661562 0.015012  0  6.113432 0.018139  0 10.348479 0.115076  0 14.592058 0.015428  0 24.022741 0.096860  0
  444  V  55  32  23  -475.047086 -8.637220 0.095095  0  7.322738 0.110107  0 10.808949 0.177553  0 13.436170 0.098222  0 24.810666 0.189170  0
  445  V  56  33  23  -480.128722 -8.573727 0.176904  0  5.081636 0.271999  0 11.773175 0.338494  0 12.404374 0.191916  0 26.836841 0.449712  0
  446  V  57  34  23  -486.458595 -8.534361 0.080484  0  6.329873 0.257388  0 12.379788 0.201724  0 11.411509 0.175579  0 28.826963 0.534839  0
  447  V  58  35  23  -490.518190 -8.457210 0.089378  0  4.059595 0.169862  0 13.772453 0.345821  0 10.389468 0.266282  0 30.122315 0.676202  0
  448  V  59  36  23  -496.019771 -8.407115 0.161896  0  5.501581 0.251274  0 14.005124 0.335896  1  9.561176 0.242380  0 31.408983 1.465999  0
  449  V  60  37  23  -499.501026 -8.325017 0.220140  0  3.481255 0.382036  0 15.016379 0.397140  1  8.982836 0.309518  0 32.911919 0.626140  1
  450  V  61  38  23  -504.836805 -8.276013 0.894260  0  5.335779 1.114400  0 15.440158 1.194260  1  8.817034 1.056156  0 34.804698 1.307260  1
  451  V  62  39  23  -507.878026 -8.191581 0.310000  1  3.041221 1.204260  1 16.424379 0.737000  2  8.377000 0.530140  1 35.998919 0.790000  2
  452  V  63  40  23  -512.353026 -8.132588 0.378000  1  4.475000 0.688000  2 16.686379 0.750000  2  7.516221 1.272260  1 37.366919 0.988000  2
  453  V  64  41  23  -514.854026 -8.044594 0.384000  1  2.501000 0.762000  2 17.870379 0.888000  2  6.976000 0.694000  2  0.000001 0.000001  0
  454  V  65  42  23  -518.414026 -7.975600 0.520000  1  3.560000 0.904000  2 18.085379 1.096000  2  6.061000 0.898000  2  0.000001 0.000001  0
  455  V  66  43  23  -520.318026 -7.883606 0.528000  1  1.904000 1.048000  2  0.000001 0.000001  0  5.464000 0.912000  2  0.000001 0.000001  0
  456  V  67  44  23  -523.378026 -7.811612 0.603000  1  3.060000 1.131000  2  0.000001 0.000001  0  4.964000 1.123000  2  0.000001 0.000001  0
  457 Cr  42  18  24  -313.459240 -7.463315 0.420000  1  0.000001 0.000001  0  0.860214 0.625000  2  0.000001 0.000001  0 -1.008847 0.580000  1
  458 Cr  43  19  24  -330.211240 -7.679331 0.387000  1 16.752000 0.807000  2  1.629214 0.597000  2  0.000001 0.000001  0  0.824685 0.414962  1
  459 Cr  44  20  24  -349.683240 -7.947346 0.308000  1 19.472000 0.695000  2  2.720198 0.350828  1 36.224000 0.728000  2  2.818219 0.308294  1
  460 Cr  45  21  24  -363.919000 -8.087089 0.035415  0 14.235760 0.343415  1  2.684602 0.217047  0 33.707760 0.422415  1  4.766277 0.042639  0
  461 Cr  46  22  24  -381.947098 -8.303198 0.011454  0 18.028098 0.046869  0  4.871767 0.012309  0 32.263858 0.319454  1  6.495571 0.012158  0
  462 Cr  47  23  24  -395.109405 -8.406583 0.006016  0 13.162307 0.017470  0  4.773399 0.006200  0 31.190405 0.041431  0 10.125268 0.006871  0
  463 Cr  48  24  24  -411.440152 -8.571670 0.007344  0 16.330747 0.013360  0  8.101551 0.007532  0 29.493054 0.018798  0 13.266759 0.007528  0
  464 Cr  49  25  24  -422.022499 -8.612704 0.002254  0 10.582347 0.009598  0  8.141545 0.003214  0 26.913094 0.008270  0 14.968183 0.002348  0
  465 Cr  50  26  24  -435.022840 -8.700457 0.000450  0 13.000341 0.002704  0  9.586322 0.001283  0 23.582688 0.007794  0 16.341905 0.000546  0
  466 Cr  51  27  24  -444.283495 -8.711441 0.000408  0  9.260655 0.000858  0  9.513569 0.000808  0 22.260996 0.002662  0 17.460155 0.000506  0
  467 Cr  52  28  24  -456.322668 -8.775436 0.000364  0 12.039173 0.000772  0 10.501593 0.000772  0 21.299828 0.000814  0 18.560121 0.000464  0
  468 Cr  53  29  24  -464.261734 -8.759655 0.000371  0  7.939066 0.000735  0 11.129444 0.000787  0 19.978239 0.000779  0 20.126699 0.000881  0
  469 Cr  54  30  24  -473.980810 -8.777422 0.000378  0  9.719076 0.000749  0 12.369894 0.003505  0 17.658142 0.000742  0 22.037479 0.007450  0
  470 Cr  55  31  24  -480.227060 -8.731401 0.000385  0  6.246250 0.000763  0 12.502712 0.015397  0 15.965326 0.000756  0 22.851191 0.100449  0
  471 Cr  56  32  24  -488.473688 -8.722744 0.000616  0  8.246628 0.001001  0 13.426602 0.095711  0 14.492878 0.000994  0 24.235551 0.083074  0
  472 Cr  57  33  24  -493.784698 -8.662889 0.001083  0  5.311010 0.001699  0 13.655976 0.177987  0 13.557638 0.001468  0 25.429151 0.162673  0
  473 Cr  58  34  24  -501.323124 -8.643502 0.001508  0  7.538426 0.002591  0 14.864529 0.081992  0 12.849436 0.002124  0 27.244317 0.122748  0
  474 Cr  59  35  24  -505.488373 -8.567600 0.216353  0  4.165249 0.217861  0 14.970183 0.305731  0 11.703675 0.217436  0 28.742636 0.472796  0
  475 Cr  60  36  24  -512.143540 -8.535726 0.193620  0  6.655167 0.409973  0 16.123769 0.355516  0 10.820416 0.195128  0 30.128893 0.367620  1
  476 Cr  61  37  24  -516.020504 -8.459353 0.101321  0  3.876964 0.294941  0 16.519478 0.321461  0 10.532131 0.317674  0 31.535857 0.278321  1
  477 Cr  62  38  24  -522.511518 -8.427605 0.148118  0  6.491014 0.249439  0 17.674713 1.042378  0 10.367978 0.341738  0 33.114871 0.448118  1
  478 Cr  63  39  24  -525.695404 -8.344371 0.358092  0  3.183886 0.506210  0 17.817378 0.668092  1  9.674900 0.459413  0 34.241757 0.785092  1
  479 Cr  64  40  24  -531.238952 -8.300609 0.439680  0  5.543548 0.797772  0 18.885926 0.817680  1  8.727434 0.587798  0 35.572305 0.811680  1
  480 Cr  65  41  24  -534.076240 -8.216558 0.325000  1  2.837288 0.764680  1 19.222214 0.709000  2  8.380836 0.683092  1 37.092593 0.829000  2
  481 Cr  66  42  24  -538.597240 -8.160564 0.396000  1  4.521000 0.721000  2 20.183214 0.916000  2  7.358288 0.835680  1 38.268593 0.972000  2
  482 Cr  67  43  24  -540.661240 -8.069571 0.402000  1  2.064000 0.798000  2 20.343214 0.930000  2  6.585000 0.727000  2  0.000001 0.000001  0
  483 Cr  68  44  24  -544.855240 -8.012577 0.476000  1  4.194000 0.878000  2 21.477214 1.079000  2  6.258000 0.872000  2  0.000001 0.000001  0
  484 Cr  69  45  24  -546.727240 -7.923583 0.483000  1  1.872000 0.959000  2  0.000001 0.000001  0  6.066000 0.885000  2  0.000001 0.000001  0
  485 Cr  70  46  24  -550.661240 -7.866589 0.630000  1  3.934000 1.113000  2  0.000001 0.000001  0  5.806000 1.106000  2  0.000001 0.000001  0
  486 Mn  44  19  25  -328.516288 -7.466279 0.484000  1  0.000001 0.000001  0 -1.694953 0.871000  2  0.000001 0.000001  0 -0.065738 0.694000  2
  487 Mn  45  20  25  -348.853288 -7.752295 0.405000  1 20.337000 0.889000  2 -0.829953 0.713000  2  0.000001 0.000001  0  1.890246 0.447828  1
  488 Mn  46  21  25  -364.242288 -7.918311 0.414000  1 15.389000 0.819000  2  0.323287 0.449415  1 35.726000 0.898000  2  3.007890 0.595632  1
  489 Mn  47  22  25  -382.327905 -8.134636 0.031678  0 18.085617 0.445678  1  0.380806 0.043132  0 33.474617 0.436678  1  5.252574 0.032533  0
  490 Mn  48  23  25  -397.129168 -8.273524 0.006960  0 14.801263 0.038638  0  2.019762 0.012976  0 32.886880 0.420960  1  6.793162 0.007144  0
  491 Mn  49  24  25  -413.524809 -8.439282 0.002254  0 16.395641 0.009214  0  2.084656 0.009598  0 31.196904 0.033932  0 10.186208 0.002442  0
  492 Mn  50  25  25  -426.603088 -8.532062 0.000450  0 13.078279 0.002704  0  4.580588 0.002704  0 29.473920 0.007410  0 12.722134 0.001410  0
  493 Mn  51  26  25  -440.290660 -8.633150 0.000510  0 13.687572 0.000960  0  5.267819 0.000960  0 26.765851 0.002764  0 14.854142 0.001343  0
  494 Mn  52  27  25  -450.825396 -8.669719 0.001820  0 10.534736 0.002330  0  6.541900 0.002228  0 24.222308 0.002270  0 16.055470 0.002220  0
  495 Mn  53  28  25  -462.879563 -8.733577 0.000477  0 12.054167 0.002297  0  6.556894 0.000841  0 22.588903 0.000987  0 17.058488 0.000885  0
  496 Mn  54  29  25  -471.818398 -8.737378 0.001080  0  8.938835 0.001557  0  7.556663 0.001451  0 20.993002 0.002900  0 18.686108 0.001496  0
  497 Mn  55  30  25  -482.044498 -8.764445 0.000330  0 10.226100 0.001410  0  8.063687 0.000708  0 19.164935 0.000807  0 20.433582 0.003457  0
  498 Mn  56  31  25  -489.314936 -8.737767 0.000336  0  7.270438 0.000666  0  9.087875 0.000721  0 17.496538 0.001416  0 21.590588 0.015348  0
  499 Mn  57  32  25  -497.960929 -8.736157 0.001482  0  8.645993 0.001818  0  9.487240 0.002098  0 15.916431 0.001812  0 22.913843 0.096577  0
  500 Mn  58  33  25  -504.373582 -8.696096 0.002726  0  6.412653 0.004208  0 10.588883 0.003809  0 15.058646 0.003062  0 24.244860 0.179630  0
  501 Mn  59  34  25  -512.142627 -8.680384 0.002301  0  7.769045 0.005027  0 10.819502 0.003809  0 14.181698 0.003783  0 25.684032 0.082785  0
  502 Mn  60  35  25  -517.656568 -8.627609 0.002340  0  5.513941 0.004641  0 12.168194 0.218693  0 13.282986 0.005066  0 27.138378 0.091718  0
  503 Mn  61  36  25  -524.502103 -8.598395 0.002318  0  6.845535 0.004658  0 12.358562 0.195938  0 12.359476 0.004619  0 28.482332 0.164214  0
  504 Mn  62  37  25  -529.355226 -8.537988 0.006572  0  4.853123 0.008890  0 13.334721 0.107893  0 11.698658 0.008912  0 29.854200 0.226712  0
  505 Mn  63  38  25  -535.789651 -8.504598 0.003717  0  6.434425 0.010289  0 13.278132 0.151835  0 11.287548 0.006035  0 30.952846 0.897977  0
  506 Mn  64  39  25  -539.962976 -8.436921 0.003520  0  4.173325 0.007237  0 14.267571 0.361612  0 10.607750 0.010092  0 32.084950 0.313520  1
  507 Mn  65  40  25  -546.012553 -8.400193 0.003705  0  6.049577 0.007225  0 14.773600 0.443385  0 10.222902 0.007422  0 33.659527 0.381705  1
  508 Mn  66  41  25  -549.866956 -8.331318 0.011154  0  3.854403 0.014859  0 15.790715 0.336154  1  9.903980 0.014674  0 35.012930 0.395154  1
  509 Mn  67  42  25  -554.661288 -8.278527 0.268000  1  4.794332 0.279154  1 16.064047 0.664000  2  8.648735 0.271705  1 36.247262 0.788000  2
  510 Mn  68  43  25  -557.636288 -8.200534 0.408000  1  2.975000 0.676000  2 16.975047 0.810000  2  7.769332 0.419154  1 37.318262 0.936000  2
  511 Mn  69  44  25  -562.111288 -8.146540 0.414000  1  4.475000 0.822000  2 17.256047 0.890000  2  7.450000 0.682000  2 38.733262 1.017000  2
  512 Mn  70  45  25  -564.868288 -8.069547 0.490000  1  2.757000 0.904000  2 18.141047 0.973000  2  7.232000 0.898000  2  0.000001 0.000001  0
  513 Mn  71  46  25  -569.033288 -8.014553 0.497000  1  4.165000 0.987000  2 18.372047 1.127000  2  6.922000 0.911000  2  0.000001 0.000001  0
  514 Mn  72  47  25  -571.432288 -7.936560 0.576000  1  2.399000 1.073000  2  0.000001 0.000001  0  6.564000 1.066000  2  0.000001 0.000001  0
  515 Fe  45  19  26  -329.050165 -7.312226 0.405000  1  0.000001 0.000001  0  0.533877 0.889000  2  0.000001 0.000001  0 -1.161075 0.792000  2
