3433 Binding energies from the Atomic Mass Evaluation of 2016
# Electronic correction:  Be(Z) = 1.44381E-5*Z**2.39 + 1.55468E-12*Z**5.35 MeV            
# Num Nuc  A   N   Z        E        E/A     dE     Eval    S1n     dS1n  Eval    S1p     dS1p  Eval    S2n     dS2n  Eval    S2p     dS2p  Eval
   39  B   8   3   5   -37.736564 -4.717070 0.001000  0 12.826305 0.026151  0  0.136125 0.001070  0 40.539240 2.005000  1  5.742777 0.001000  0
   40  B   9   4   5   -56.312954 -6.256995 0.000900  0 18.576390 0.001900  0 -0.186129 0.000932  0 31.402695 0.026051  0 17.068080 0.000907  0
   41  B  10   5   5   -64.750154 -6.475015 0.000020  0  8.437200 0.000920  0  6.586539 0.000101  0 27.013590 0.001020  0 23.472657 0.000068  0
   42  B  11   6   5   -76.204376 -6.927671 0.000011  0 11.454222 0.000031  0 11.228473 0.000091  0 19.891422 0.000911  0 30.864663 0.000200  0
   43  B  12   7   5   -79.574000 -6.631167 0.001320  0  3.369624 0.001331  0 14.096457 0.001562  0 14.823846 0.001340  0 34.260689 0.014040  0
   44  B  13   8   5   -84.452771 -6.496367 0.001001  0  4.878771 0.002321  0 15.804504 0.002909  0  8.248395 0.001012  0 38.743779 0.001617  0
   45  B  14   9   5   -85.422340 -6.101596 0.021210  0  0.969569 0.022211  0 17.284082 0.031389  0  5.848340 0.022530  0 39.923339 0.051222  0
   46  B  15  10   5   -88.199099 -5.879940 0.021030  0  2.776759 0.042240  0 18.284938 0.153274  0  3.746328 0.022031  0 42.600108 0.091035  0
   47  B  16  11   5   -88.116156 -5.507260 0.024576  0 -0.082943 0.045606  0 20.002003 0.190371  0  2.693816 0.045786  0  0.000001 0.000001  0
   48  B  17  12   5   -89.583663 -5.269627 0.204102  0  1.467507 0.228678  0 21.019500 0.369894  0  1.384564 0.225132  0  0.000001 0.000001  0
   49  B  18  13   5   -89.578664 -4.976592 0.204156  0 -0.004999 0.408258  0  0.000001 0.000001  0  1.462508 0.228732  0  0.000001 0.000001  0
   50  B  19  14   5   -89.672370 -4.719598 0.525369  0  0.093706 0.729525  0  0.000001 0.000001  0  0.088707 0.729471  0  0.000001 0.000001  0
   51  B  20  15   5   -89.059324 -4.452966 0.800000  1 -0.613046 1.325369  1  0.000001 0.000001  0 -0.519340 1.004156  1  0.000001 0.000001  0
